,,PCT_CHG
2021-11-30,601600.SH,-15.309446254071645
2021-03-31,002027.SZ,-15.251141552511417
2021-07-30,601808.SH,-15.250696378830074
2021-03-31,002241.SZ,-15.156250000000004
2021-04-30,600009.SH,-15.129533678756468
2021-09-30,002129.SZ,-15.055555555555555
2021-04-30,300498.SZ,-14.952718676122934
2021-08-31,600703.SH,-14.725223109441043
2021-03-31,002050.SZ,-14.722911497105029
2021-06-30,600362.SH,-14.710365853658535
2021-07-30,601788.SH,-14.628160781311072
2021-09-30,600019.SH,-14.622178606476933
2021-07-30,600031.SH,-14.619883040935665
2021-07-30,000157.SZ,-14.54738576741642
2021-10-29,000002.SZ,-14.547160957297045
2021-08-31,600183.SH,-14.54545454545455
2021-09-30,000338.SZ,-14.499252615844549
2021-03-31,600176.SH,-14.476614699331847
2021-07-30,000538.SZ,-14.465952298651906
2021-10-29,600019.SH,-14.427235100441127
2021-03-31,601601.SH,-14.369766915591741
2021-02-26,600588.SH,-14.365281967974008
2021-06-30,601155.SH,-14.279826911188954
2021-05-31,002157.SZ,-14.188730482009504
2021-06-30,000568.SZ,-14.188034188034182
2021-10-29,600795.SH,-14.15384615384615
2021-05-31,600079.SH,-14.125151883353592
2021-06-30,600690.SH,-14.119986741796486
2021-07-30,002153.SZ,-14.07911527009783
2021-02-26,002236.SZ,-14.06890894175553
2021-11-30,002129.SZ,-14.056531703590524
2021-11-30,601857.SH,-14.051094890510951
2021-03-31,000860.SZ,-14.047619047619065
2021-06-30,000157.SZ,-14.046511627906966
2021-07-30,601166.SH,-14.014598540145995
2021-02-26,600845.SH,-13.998197656954037
2021-03-31,600143.SH,-13.985736925515047
2021-04-30,002202.SZ,-13.973182780522242
2021-08-31,000063.SZ,-13.958802926061098
2021-03-31,000066.SZ,-13.954834973943264
2021-10-29,000656.SZ,-13.953488372093014
2021-11-30,002024.SZ,-13.870246085011184
2021-05-31,000725.SZ,-13.778990450204631
2021-07-30,600104.SH,-13.767050152178484
2021-07-30,600585.SH,-13.76370280146163
2021-06-30,601899.SH,-13.713268032057002
2021-02-26,600741.SH,-13.683506189361005
2021-06-30,000786.SZ,-13.65569921961194
2021-03-31,600196.SH,-13.575152041702864
2021-03-31,600584.SH,-13.574317492416599
2021-07-30,600118.SH,-13.486351606510683
2021-08-31,000963.SZ,-13.35587489433644
2021-07-30,000069.SZ,-13.306451612903237
2021-07-30,002230.SZ,-13.287955016276998
2021-09-30,000725.SZ,-13.230240549828187
2021-07-30,000002.SZ,-13.229735405291887
2021-07-30,600115.SH,-13.188976377952756
2021-09-30,601618.SH,-13.173652694610771
2021-04-30,601601.SH,-13.081395348837221
2021-04-30,600299.SH,-13.06532663316583
2021-04-30,600745.SH,-12.959183673469388
2021-07-30,600872.SH,-12.946216087577355
2021-03-31,002304.SZ,-12.857142857142856
2021-08-31,600584.SH,-12.838182746299132
2021-02-26,600763.SH,-12.814607665734501
2021-03-31,000977.SZ,-12.74697259400892
2021-03-31,000338.SZ,-12.743764172335602
2021-09-30,600703.SH,-12.723767557146793
2021-07-30,600606.SH,-12.694791422699502
2021-07-30,600061.SH,-12.603062426383982
2021-10-29,000425.SZ,-12.589413447782539
2021-10-29,600606.SH,-12.553191489361703
2021-10-29,600886.SH,-12.520729684908783
2021-07-30,600383.SH,-12.505501690428266
2021-08-31,600340.SH,-12.471131639722866
2021-06-30,000963.SZ,-12.455116286375677
2021-03-31,600352.SH,-12.454655380894808
2021-07-30,600660.SH,-12.34119791162711
2021-03-31,600030.SH,-12.33027522935779
2021-06-30,600585.SH,-12.327889657792612
2021-10-29,601088.SH,-12.224183583406889
