,stock,tradeDate,rets,factor
2236,600085.XSHG,2011-04-29,0,0.4672753919378765
2237,600104.XSHG,2011-04-29,0,0.4338754328950411
2239,600111.XSHG,2011-04-29,1,0.5449819529818933
2240,600115.XSHG,2011-04-29,0,0.44281086859837365
2241,600196.XSHG,2011-04-29,1,0.4467428922836236
2242,600276.XSHG,2011-04-29,1,0.4481920777449747
2243,600309.XSHG,2011-04-29,0,0.5311150417880337
2245,600362.XSHG,2011-04-29,0,0.4214609434677144
2246,600383.XSHG,2011-04-29,0,0.3742024556934539
2247,600406.XSHG,2011-04-29,0,0.41927177113828934
2248,600489.XSHG,2011-04-29,0,0.4880684596303579
2249,600519.XSHG,2011-04-29,1,0.5779554124969065
2250,600547.XSHG,2011-04-29,0,0.4448421713992085
2251,600585.XSHG,2011-04-29,1,0.48131345213593657
2252,600588.XSHG,2011-04-29,1,0.39537520651994307
2253,600660.XSHG,2011-04-29,1,0.4832541308307481
2254,600690.XSHG,2011-04-29,0,0.3507038066023593
2255,600741.XSHG,2011-04-29,0,0.49217270338408164
2256,600795.XSHG,2011-04-29,0,0.4304828891401831
2258,600887.XSHG,2011-04-29,1,0.49691125681331194
2259,600893.XSHG,2011-04-29,0,0.4542432721546252
2260,600900.XSHG,2011-04-29,0,0.5316833363637166
2262,601006.XSHG,2011-04-29,1,0.48066637149193897
2264,601088.XSHG,2011-04-29,1,0.4958185555407061
2265,601111.XSHG,2011-04-29,0,0.3709124394930411
2268,601186.XSHG,2011-04-29,0,0.36331726939850334
2273,601390.XSHG,2011-04-29,1,0.36741011844805854
2275,601600.XSHG,2011-04-29,0,0.49242294612148113
2277,601607.XSHG,2011-04-29,0,0.3801896052493406
2278,601618.XSHG,2011-04-29,1,0.49580211106010535
2280,601668.XSHG,2011-04-29,1,0.46150366538586085
2282,601766.XSHG,2011-04-29,1,0.42373724091684095
2284,601857.XSHG,2011-04-29,1,0.5336339402106317
2285,601888.XSHG,2011-04-29,0,0.46161052022512794
2286,601899.XSHG,2011-04-29,0,0.39137015535669384
2287,601933.XSHG,2011-04-29,0,0.39503772696175915
2290,601989.XSHG,2011-04-29,0,0.46491242143965555
2292,000596.XSHE,2011-04-29,1,0.48594138230994605
2293,000661.XSHE,2011-04-29,1,0.3632016691045883
2295,000786.XSHE,2011-04-29,0,0.44903232464404647
2297,000963.XSHE,2011-04-29,1,0.3793566339732303
2298,002001.XSHE,2011-04-29,1,0.48832533387600363
2299,002008.XSHE,2011-04-29,1,0.4775082741874271
2301,002032.XSHE,2011-04-29,1,0.4928249072076013
2303,002050.XSHE,2011-04-29,1,0.4452740672849582
2304,002120.XSHE,2011-04-29,0,0.48757651287866854
2305,002179.XSHE,2011-04-29,0,0.4234960436812654
2306,002230.XSHE,2011-04-29,0,0.47268344301287896
2307,002236.XSHE,2011-04-29,0,0.4762245885473749
2308,002252.XSHE,2011-04-29,0,0.4449071476040444
2309,002271.XSHE,2011-04-29,1,0.4217250979786514
2310,002311.XSHE,2011-04-29,1,0.4117174406196613
2311,002352.XSHE,2011-04-29,0,0.43229481561667205
2312,002410.XSHE,2011-04-29,0,0.4614605362908774
2313,002460.XSHE,2011-04-29,0,0.4098742568865172
2314,002475.XSHE,2011-04-29,0,0.37899213428866346
2315,002493.XSHE,2011-04-29,0,0.5552367431116249
2317,300003.XSHE,2011-04-29,0,0.40843441752669757
2318,300015.XSHE,2011-04-29,1,0.4976721727307239
