,stock,tradeDate,rets,factor
2342,601808.XSHG,2011-04-29,1,0.4486135325834298
2343,601877.XSHG,2011-04-29,0,0.4506883845663578
2344,601919.XSHG,2011-04-29,0,0.4989359937555355
2347,000708.XSHE,2011-04-29,1,0.4486807560695361
2348,000800.XSHE,2011-04-29,0,0.538941156111385
2350,002049.XSHE,2011-04-29,1,0.44550596146231614
2351,002064.XSHE,2011-04-29,0,0.5576170158563368
2352,002129.XSHE,2011-04-29,0,0.48679973414585226
2353,002157.XSHE,2011-04-29,1,0.3835268870460422
2354,002371.XSHE,2011-04-29,0,0.3755764662574854
2355,002414.XSHE,2011-04-29,0,0.27097371995696373
2357,002466.XSHE,2011-04-29,0,0.35325866902250896
2360,600079.XSHG,2011-04-29,1,0.4221639112397319
2361,600132.XSHG,2011-04-29,0,0.5339436810601236
2362,600143.XSHG,2011-04-29,0,0.41469119657592174
2363,600150.XSHG,2011-04-29,1,0.5225259756374827
2364,600161.XSHG,2011-04-29,0,0.2673603122589948
2365,600426.XSHG,2011-04-29,0,0.3238338490257429
2366,600584.XSHG,2011-04-29,0,0.3901540856922092
2367,600600.XSHG,2011-04-29,1,0.3716885775008354
2369,600763.XSHG,2011-04-29,1,0.4393517642006657
2370,600845.XSHG,2011-04-29,1,0.38414416229652104
2371,600848.XSHG,2011-04-29,0,0.43981469354177677
2374,601898.XSHG,2011-04-29,0,0.3889368239851374
2376,000002.XSHE,2011-05-31,1,0.5022479597116654
2377,000063.XSHE,2011-05-31,1,0.45669993657567526
2379,000069.XSHE,2011-05-31,1,0.4651431756636356
2380,000100.XSHE,2011-05-31,1,0.523934373686424
2381,000157.XSHE,2011-05-31,1,0.4546469737147993
2382,000301.XSHE,2011-05-31,0,0.431326284925268
2383,000338.XSHE,2011-05-31,0,0.43331141072823554
2384,000425.XSHE,2011-05-31,1,0.4453132537803481
2385,000538.XSHE,2011-05-31,0,0.424514423507008
2386,000568.XSHE,2011-05-31,0,0.5577043232970305
2387,000596.XSHE,2011-05-31,1,0.4470430466252
2388,000625.XSHE,2011-05-31,0,0.44233349208523953
2389,000651.XSHE,2011-05-31,1,0.4004135604716538
2390,000661.XSHE,2011-05-31,0,0.38593098391022324
2392,000708.XSHE,2011-05-31,0,0.5026347370000848
2393,000725.XSHE,2011-05-31,1,0.487053180961158
2394,000768.XSHE,2011-05-31,1,0.4745142046651993
2397,000786.XSHE,2011-05-31,1,0.4319135500599116
2398,000800.XSHE,2011-05-31,1,0.46635112113226623
2399,000858.XSHE,2011-05-31,1,0.4938676613080862
2400,000876.XSHE,2011-05-31,1,0.5142468825449584
2401,000895.XSHE,2011-05-31,1,0.3819488778181283
2403,000963.XSHE,2011-05-31,0,0.3055088596167483
2405,002001.XSHE,2011-05-31,1,0.5101456317520234
2406,002007.XSHE,2011-05-31,0,0.34552384620855575
2407,002008.XSHE,2011-05-31,1,0.489024470369185
2408,002024.XSHE,2011-05-31,1,0.43804100798787826
2410,002032.XSHE,2011-05-31,0,0.5080368488110681
2411,002044.XSHE,2011-05-31,1,0.523907712289907
2413,002050.XSHE,2011-05-31,0,0.5072810015121763
2414,002064.XSHE,2011-05-31,0,0.5174010452940031
2415,002120.XSHE,2011-05-31,0,0.523907712289907
2418,002157.XSHE,2011-05-31,1,0.417884530671231
2419,002179.XSHE,2011-05-31,1,0.4916386338095277
2420,002202.XSHE,2011-05-31,0,0.473437841893884
2421,002230.XSHE,2011-05-31,1,0.41379845779316393
2422,002236.XSHE,2011-05-31,1,0.5497466686948183
2423,002241.XSHE,2011-05-31,1,0.4459511783586593
2424,002252.XSHE,2011-05-31,0,0.3696923896230939
2425,002271.XSHE,2011-05-31,1,0.445908655899222
2426,002304.XSHE,2011-05-31,1,0.4784491035806259
2427,002311.XSHE,2011-05-31,1,0.41507972130872006
2428,002352.XSHE,2011-05-31,0,0.46629518255753893
2429,002371.XSHE,2011-05-31,0,0.4471523022244529
2430,002410.XSHE,2011-05-31,1,0.4386390601807505
2431,002414.XSHE,2011-05-31,1,0.3778712079365026
2432,002415.XSHE,2011-05-31,1,0.45778519352951036
2434,002460.XSHE,2011-05-31,1,0.36455478014361536
2436,002475.XSHE,2011-05-31,1,0.36890851575284683
2437,002493.XSHE,2011-05-31,0,0.4233932323878996
2441,300003.XSHE,2011-05-31,0,0.39846722642501686
2443,300015.XSHE,2011-05-31,0,0.46539994469058193
2446,300122.XSHE,2011-05-31,0,0.37529762827648205
2447,300124.XSHE,2011-05-31,0,0.40771975481593964
2448,300142.XSHE,2011-05-31,0,0.37801259876558846
2449,300144.XSHE,2011-05-31,0,0.4592853832135806
2451,600009.XSHG,2011-05-31,0,0.4490138245629636
2452,600010.XSHG,2011-05-31,1,0.418441775531937
2453,600011.XSHG,2011-05-31,0,0.36592676297592475
2456,600018.XSHG,2011-05-31,0,0.42542336525638014
2457,600019.XSHG,2011-05-31,0,0.47746909506973473
2458,600028.XSHG,2011-05-31,0,0.48755753263912593
2461,600031.XSHG,2011-05-31,1,0.4827791452633734
2463,600048.XSHG,2011-05-31,1,0.46610966225880396
2464,600050.XSHG,2011-05-31,0,0.502208222232484
2466,600079.XSHG,2011-05-31,0,0.4427933755306068
2467,600085.XSHG,2011-05-31,1,0.4506095877529298
2468,600104.XSHG,2011-05-31,1,0.4406238754126457
2470,600111.XSHG,2011-05-31,0,0.4570928715043969
2471,600115.XSHG,2011-05-31,0,0.4213435339062027
2472,600132.XSHG,2011-05-31,1,0.4965746602684326
2473,600143.XSHG,2011-05-31,1,0.4441337236640133
2474,600150.XSHG,2011-05-31,1,0.46398938148995733
2475,600161.XSHG,2011-05-31,0,0.32445877270573326
2476,600176.XSHG,2011-05-31,1,0.5520449428403797
2477,600183.XSHG,2011-05-31,0,0.4801085253727828
2478,600196.XSHG,2011-05-31,0,0.4822218474058537
2479,600276.XSHG,2011-05-31,0,0.5136725952350822
2480,600309.XSHG,2011-05-31,1,0.4621445757734429
2481,600332.XSHG,2011-05-31,0,0.4023765125932185
2483,600352.XSHG,2011-05-31,0,0.4244429094950582
2484,600362.XSHG,2011-05-31,1,0.3936795236775895
2485,600383.XSHG,2011-05-31,1,0.4674102988372888
2486,600406.XSHG,2011-05-31,1,0.43890828937677084
2487,600426.XSHG,2011-05-31,1,0.37267766645529676
2488,600436.XSHG,2011-05-31,0,0.4378592939547068
2489,600438.XSHG,2011-05-31,0,0.4697491901430546
2490,600489.XSHG,2011-05-31,1,0.5037848014181563
2491,600519.XSHG,2011-05-31,0,0.49044607471931867
2492,600547.XSHG,2011-05-31,0,0.4249705477109513
2493,600570.XSHG,2011-05-31,1,0.48934916413131807
2494,600584.XSHG,2011-05-31,0,0.43483128322574827
2496,600588.XSHG,2011-05-31,0,0.40330919412030886
2497,600600.XSHG,2011-05-31,0,0.4014953842285852
2499,600655.XSHG,2011-05-31,0,0.48502315617820435
2500,600660.XSHG,2011-05-31,0,0.5954354213540629
2501,600690.XSHG,2011-05-31,1,0.42829249947988224
2502,600741.XSHG,2011-05-31,1,0.41344820565329843
2503,600745.XSHG,2011-05-31,0,0.33510964956084266
2506,600795.XSHG,2011-05-31,0,0.364189244461229
2507,600809.XSHG,2011-05-31,0,0.5032635303500568
2509,600845.XSHG,2011-05-31,0,0.4751840076303134
2512,600886.XSHG,2011-05-31,0,0.32501836225891395
2513,600887.XSHG,2011-05-31,0,0.4442007193014657
2514,600893.XSHG,2011-05-31,1,0.4125841596426411
2515,600900.XSHG,2011-05-31,0,0.45076518092935614
2517,601006.XSHG,2011-05-31,0,0.4973179980720735
2519,601088.XSHG,2011-05-31,1,0.5330515550917934
2520,601111.XSHG,2011-05-31,0,0.44575193232340793
2524,601216.XSHG,2011-05-31,1,0.39296292597580906
2529,601390.XSHG,2011-05-31,0,0.40019872083147645
2533,601607.XSHG,2011-05-31,0,0.42482567752293826
2534,601618.XSHG,2011-05-31,0,0.5406436920744713
2536,601668.XSHG,2011-05-31,1,0.4117853418471082
2538,601766.XSHG,2011-05-31,1,0.4304837789240372
2540,601799.XSHG,2011-05-31,0,0.4583179013001984
2541,601808.XSHG,2011-05-31,0,0.45712181800827906
2543,601857.XSHG,2011-05-31,0,0.5380716729641233
2544,601877.XSHG,2011-05-31,0,0.4077540134415023
2545,601888.XSHG,2011-05-31,0,0.40224669935711055
2546,601898.XSHG,2011-05-31,0,0.41361646215239906
2547,601899.XSHG,2011-05-31,0,0.4903673010550877
2548,601919.XSHG,2011-05-31,0,0.4833736039232766
2549,601933.XSHG,2011-05-31,0,0.37729412328315065
2552,601989.XSHG,2011-05-31,1,0.4552237270633952
2555,000002.XSHE,2011-06-30,0,0.5005320828367789
2556,000063.XSHE,2011-06-30,0,0.47838887260227364
2558,000069.XSHE,2011-06-30,0,0.4930612355417013
2559,000100.XSHE,2011-06-30,0,0.49329439462646685
2560,000157.XSHE,2011-06-30,0,0.47440547096264946
2561,000301.XSHE,2011-06-30,0,0.45334287206894514
2562,000338.XSHE,2011-06-30,0,0.4058050459397156
2563,000425.XSHE,2011-06-30,0,0.4597998272950924
2564,000538.XSHE,2011-06-30,1,0.3937665384540792
2565,000568.XSHE,2011-06-30,1,0.5380623222206274
2566,000596.XSHE,2011-06-30,1,0.4780557594353759
2567,000625.XSHE,2011-06-30,0,0.4602770256881266
2568,000651.XSHE,2011-06-30,0,0.4583060513728474
2569,000661.XSHE,2011-06-30,0,0.3572262619216852
2571,000708.XSHE,2011-06-30,0,0.46584699550719466
2572,000725.XSHE,2011-06-30,0,0.45047698251739804
2573,000768.XSHE,2011-06-30,0,0.40827544069691235
2576,000786.XSHE,2011-06-30,0,0.48419874259567997
