index,stock,tradeDate,return,class,factor
20511,300433.XSHE,31/05/2018,-0.10380179,0,1
20512,300450.XSHE,31/05/2018,-0.00754841,0,0.66605455
20513,300498.XSHE,31/05/2018,-0.0825,0,1
20514,300529.XSHE,31/05/2018,-0.01310037,1,0.52445555
20515,300558.XSHE,31/05/2018,-0.15651515,0,1
20516,300595.XSHE,31/05/2018,0.1292517,1,1
20517,300601.XSHE,31/05/2018,-0.01439284,0,1
20518,300628.XSHE,31/05/2018,-0.01802741,0,0.999972
20519,300676.XSHE,31/05/2018,-0.30204103,0,1
20520,300677.XSHE,31/05/2018,-0.08624801,0,1
20523,600009.XSHG,31/05/2018,0.02988676,1,0.9999887
20525,600011.XSHG,31/05/2018,-0.09530583,0,1
20528,600018.XSHG,31/05/2018,-0.06039292,0,1
20529,600019.XSHG,31/05/2018,-0.02718682,0,0.7182414
20531,600028.XSHG,31/05/2018,-0.02406015,0,0.63878065
20532,600029.XSHG,31/05/2018,-0.155,0,1
20534,600031.XSHG,31/05/2018,0.10877627,1,1
20536,600048.XSHG,31/05/2018,0.01816686,1,0.9810687
20537,600050.XSHG,31/05/2018,-0.09014733,0,1
20539,600079.XSHG,31/05/2018,-0.06638418,0,1
20540,600085.XSHG,31/05/2018,-0.12931885,0,1
20541,600104.XSHG,31/05/2018,-0.03475862,0,1
20544,600115.XSHG,31/05/2018,-0.10054348,0,1
20545,600132.XSHG,31/05/2018,-0.12954349,0,1
20546,600143.XSHG,31/05/2018,-0.05313893,0,1
20547,600150.XSHG,31/05/2018,-0.22417934,0,1
20548,600161.XSHG,31/05/2018,-0.12385969,0,1
20549,600176.XSHG,31/05/2018,-0.16009852,0,1
20550,600183.XSHG,31/05/2018,0.0121547,1,0.5673219
20551,600196.XSHG,31/05/2018,-0.1058544,0,1
20552,600276.XSHG,31/05/2018,-0.00486011,0,1
20554,600332.XSHG,31/05/2018,-0.13952962,0,1
20555,600346.XSHG,31/05/2018,-0.06385696,0,0.5422768
20556,600352.XSHG,31/05/2018,-0.06658607,0,1
20557,600362.XSHG,31/05/2018,-0.03939394,0,1
20558,600383.XSHG,31/05/2018,-0.04139229,0,1
20559,600406.XSHG,31/05/2018,-0.05283214,0,1
20560,600426.XSHG,31/05/2018,-0.11296016,0,1
20561,600436.XSHG,31/05/2018,0.00905127,0,0.9999949
20562,600438.XSHG,31/05/2018,-0.38829787,0,1
20563,600489.XSHG,31/05/2018,-0.21247113,0,1
20564,600519.XSHG,31/05/2018,-0.01236767,0,0.99998045
20565,600547.XSHG,31/05/2018,-0.15626102,0,1
20566,600570.XSHG,31/05/2018,-0.08216329,0,1
20567,600584.XSHG,31/05/2018,-0.10559662,0,1
20568,600585.XSHG,31/05/2018,0.01178475,0,0.78716266
20569,600588.XSHG,31/05/2018,-0.00365854,1,0.99730814
20570,600600.XSHG,31/05/2018,-0.1725505,0,1
20571,600606.XSHG,31/05/2018,-0.02242152,0,1
20572,600655.XSHG,31/05/2018,-0.0974212,0,1
20573,600660.XSHG,31/05/2018,0.03170144,1,0.9997111
20574,600690.XSHG,31/05/2018,-0.02578166,0,0.99998343
20575,600741.XSHG,31/05/2018,-0.07053292,0,1
20577,600760.XSHG,31/05/2018,0.06218686,1,1
20578,600763.XSHG,31/05/2018,-0.00384981,0,0.6766806
20579,600795.XSHG,31/05/2018,-0.07746479,0,1
20580,600809.XSHG,31/05/2018,-0.02420481,0,0.99999976
20582,600845.XSHG,31/05/2018,0.0625,1,1
20583,600848.XSHG,31/05/2018,-0.01767906,0,1
