,,PCT_CHG
2011-12-30,600482.SH,-25.25918944392084
2018-10-31,000661.SZ,-25.23206751054853
2021-07-30,000858.SZ,-25.18009644348782
2016-01-29,000338.SZ,-25.15527950310559
2016-01-29,601186.SH,-25.148367952522264
2018-10-31,002129.SZ,-25.098554533508544
2016-01-29,600030.SH,-25.06459948320414
2013-06-28,600362.SH,-25.04761904761905
2015-07-31,600690.SH,-25.00832137866166
2010-12-31,600132.SH,-24.983082961158487
2016-01-29,002157.SZ,-24.97512437810946
2015-08-31,600118.SH,-24.932795698924725
2014-03-31,002024.SZ,-24.91978609625668
2010-04-30,000786.SZ,-24.856815578465064
2021-07-30,601919.SH,-24.81429179717578
2018-10-31,600519.SH,-24.80821917808219
2015-08-31,600115.SH,-24.783027965284464
2018-10-31,000977.SZ,-24.750830564784042
2013-06-28,000338.SZ,-24.696180555555546
2015-08-31,002050.SZ,-24.679487179487182
2018-10-31,000703.SZ,-24.660766961651916
2014-03-31,600406.SH,-24.653148345784416
2013-06-28,002120.SZ,-24.649728974372252
2016-01-29,600132.SH,-24.640400250156336
2013-06-28,600111.SH,-24.629830263633078
2016-02-29,600690.SH,-24.596774193548388
2016-01-29,601111.SH,-24.592074592074585
2013-06-28,600489.SH,-24.532900081234786
2010-11-30,600029.SH,-24.512298558100078
2015-08-31,600570.SH,-24.487938097405547
2016-01-29,000783.SZ,-24.476650563607084
2015-06-30,600893.SH,-24.384691990325802
2014-12-31,002027.SZ,-24.352331606217614
2016-01-29,601600.SH,-24.34607645875252
2010-04-30,300033.SZ,-24.321880650994565
2020-03-31,000725.SZ,-24.2857142857143
2021-03-31,600893.SH,-24.24393486208042
2015-08-31,600109.SH,-24.235152969406126
2016-01-29,000728.SZ,-24.21425409473218
2019-05-31,002236.SZ,-24.213075060532674
2013-06-28,000425.SZ,-24.205533132500033
2014-03-31,600588.SH,-24.18788410886743
2016-01-29,000166.SZ,-24.183006535947726
2018-10-31,600872.SH,-24.17177914110431
2019-08-30,600848.SH,-24.13793103448275
2018-07-31,600521.SH,-24.128887223679275
2015-07-31,002120.SZ,-24.10788381742739
2015-07-31,600795.SH,-24.094014682705968
2015-06-30,002236.SZ,-24.09036860879904
2015-06-30,601186.SH,-24.05013480229501
2015-08-31,002157.SZ,-24.019828751689953
2012-08-31,000776.SZ,-24.008810572687224
2021-07-30,600522.SH,-24.0
2015-08-31,600584.SH,-23.98104265402845
2015-07-31,600132.SH,-23.934280639431627
2013-06-28,002179.SZ,-23.90615091946734
2015-07-31,000568.SZ,-23.888377798221406
2016-12-30,000002.SZ,-23.8324684951816
2018-01-31,002049.SZ,-23.75494894769743
2021-09-30,600111.SH,-23.711873169050477
2015-07-31,002142.SZ,-23.668176880361237
2021-07-30,600741.SH,-23.609253538955123
2020-01-23,601872.SH,-23.60774818401937
2012-07-31,002024.SZ,-23.599523241954714
2015-07-31,600150.SH,-23.592233009708742
2016-01-29,600183.SH,-23.559150657229523
2011-12-30,600061.SH,-23.553162853297437
2013-04-26,600233.SH,-23.551542513167778
2013-06-28,600848.SH,-23.54694485842027
2016-01-29,000800.SZ,-23.518631643249854
2020-03-31,600741.SH,-23.48134991119005
2021-11-30,601888.SH,-23.470908142740065
2018-10-31,600436.SH,-23.464349200079006
2016-01-29,600837.SH,-23.45132743362832
2016-01-29,000708.SZ,-23.42342342342344
2016-01-29,600309.SH,-23.417366946778717
2021-03-31,000768.SZ,-23.397537101357745
2017-11-30,601727.SH,-23.385300668151455
2018-10-31,600690.SH,-23.365617433414045
2015-08-31,000977.SZ,-23.3615221987315
2013-06-28,601600.SH,-23.357664233576656
2013-06-28,000001.SZ,-23.332458121639522
2015-06-30,601390.SH,-23.25999799964107
2015-07-31,601111.SH,-23.252784539336858
2021-07-30,600763.SH,-23.245742092457423
2016-01-29,000725.SZ,-23.23232323232325
2011-12-30,600352.SH,-23.22147651006712
2010-04-30,600346.SH,-23.179916317991633
2011-08-31,600176.SH,-23.151750972762642
2016-01-29,601998.SH,-23.130193905817176
2013-06-28,000157.SZ,-23.087818696883854
2016-01-29,002179.SZ,-23.076923076923084
2015-08-31,601788.SH,-23.073394495412845
2016-01-29,600585.SH,-23.040935672514628
2014-01-30,600745.SH,-23.029556650246295
2016-01-29,000063.SZ,-23.027375201288248
2013-06-28,000860.SZ,-23.00070771408351
2015-06-30,600406.SH,-22.974356183262312
2010-12-31,600521.SH,-22.967479674796742
2010-05-31,000938.SZ,-22.94900221729489
2012-11-30,000860.SZ,-22.909967845659164
2012-06-29,600010.SH,-22.90679304897315
2013-06-28,000768.SZ,-22.9035072499732
2015-06-30,000063.SZ,-22.895077720207258
2021-02-26,600872.SH,-22.868620740961166
2021-07-30,000963.SZ,-22.864594653336223
2015-07-31,600161.SH,-22.80934678704195
2016-01-29,601766.SH,-22.80155642023347
2016-09-30,002157.SZ,-22.798854688618476
2016-01-29,000786.SZ,-22.773109243697487
2015-07-31,600030.SH,-22.742474916387955
2018-03-30,600150.SH,-22.74017024726389
2011-12-30,002044.SZ,-22.72727272727273
2013-06-28,601899.SH,-22.72727272727273
2013-06-28,600299.SH,-22.72727272727273
2015-12-31,601618.SH,-22.721437740693208
2021-07-30,002311.SZ,-22.713803228862737
2016-01-29,600176.SH,-22.707595434868143
2021-08-31,600196.SH,-22.691744015632644
2011-12-30,000703.SZ,-22.688860435339308
2015-07-31,600760.SH,-22.651222651222646
2020-03-31,601808.SH,-22.649006622516556
2010-05-31,600029.SH,-22.63033175355449
2015-06-30,002311.SZ,-22.598454034372406
2016-01-29,600196.SH,-22.5627926777352
2013-06-28,600837.SH,-22.54335260115605
2010-04-30,601788.SH,-22.536593007340745
